Area,Year,Top10,Top5,Top1,Top0.5,Top0.1,Top0.01,Atkin05,Gini,RMeanDev,Theil,Small Businesses As % of Total Number of Businesses,Small Business Share of Employment,Total Firms Per Capita,HighSchool Grads As % of Total Population,College Grads As % of Total Population,Real GDP Per Capita,Real GDP Per Capita (% Change),Real GDP in Millions of 2009 US Dollars,Real GDP (% Change)," Agriculture, Forestry & Fishing (Millions of US Dollars) ", All Industry Total , Construction ," Finance, Insurance & Real Estate ", Government , Manufacturing , Mining , Retail Trade , Services ,Transportation and public utilities,Wholesale trade,Agshare,Constructionshare,FIREshare,Governmentshare,Manufacturingshare,Miningshare, RetailTradeshare , Serviceshare ,Transhare,Wholesaleshare,Numberofpoor,Povertyrate, % Union Members Total , % Union Coverage Total , % Union Members Private Construction , % Union Coverage Private Construction , % Union Members Private Manufacturing , % Union Coverage Private Manufacturing , % Union Members Private , % Union Coverage Private , % Union Members Public , % Union Coverage Public , Right to Work Dummy , Population , Land Area (Sq. Miles) , Density (People per Sq. Mile) , Ethnic Minorities as a Percentage of Total Pop ,Total Revenue,Total Taxes,Total Gen Sales Tax (T09),Total Select Sales Tax,Total Income Taxes,Individual Income Tax (T40),Corp Net Income Tax (T41),Total Expenditure,Public Welf-Total Exp,Construction,Manufacturing,Forestry & Fishing,Wholesale Trade,Retail Trade,"Finance, Insurance & Real Estate",Mining,Transportation and Utilities,Services,Government & Government Enterprises,Personal Income,Incorporated Self Employed,Un-incorporated Self Employed,Total Self Employed
Idaho,2009,39.55,27.66,13.65,10.47,5.87,2.59,0.25,0.63,0.84,0.65,94.99,0.439199482, 0.0241129 ,63.64%,15.88%,34631.14345,-5.7,53832,-4.5," 2,483.00 "," 53,832.00 "," 2,862.00 "," 9,722.00 "," 8,202.00 "," 6,016.00 ", 911.00 ,4165,5695,2344,2938,0.046124981,0.053165403,0.1805989,0.152362907,0.11175509,0.01692302,0.077370337,0.105792094,0.043542874,0.054577203,213,13.8,6.3,7.9,12.4,12.4,4.9,5.5,3.2,4.1,18.3,22.6, 1 ,1554439," 83,569 ", 18.60 ,0.057402703,5579623,3171863,1206137,368211,1317844,1175604,142240,8260478,1760304,2248350,3426751,356567,356567,3082629,1970642,445591,1240879,10340932,6645407,48865949,"39,985","64,029",104014
Illinois,2009,46.34,34.60,18.41,14.38,8.44,3.97,0.31,0.61,0.88,0.93,95.98,0.337173036, 0.0198493 ,65.22%,21.48%,50009.85404,-3.1,639965,-2.7," 5,243.00 "," 639,965.00 "," 24,052.00 "," 144,214.00 "," 69,358.00 "," 82,512.00 "," 2,185.00 ",34722,84430,32684,45136,0.008192636,0.037583305,0.225346699,0.108377802,0.128932051,0.003414249,0.054256092,0.13192909,0.051071543,0.070528857,1798,14.1,17.5,18.3,37.8,37.8,15.6,16.4,10.9,11.7,53.6,55.0, -   ,12796778," 57,914 ", 220.96 ,0.216860291,38582919,27415532,7408241,6424835,10932600,9222600,1710000,68424788,18636498,18958993,43332853,283986,283986,21159235,32161760,1404563,19397493,137803266,61673393,524590671,"247,442","304,866",552308
Indiana,2009,41.80,28.40,13.66,10.27,5.51,2.28,0.25,0.59,0.81,0.61,94.80,0.334802325, 0.0173349 ,63.92%,15.01%,40775.1584,-6.8,263380,-6.3," 3,402.00 "," 263,380.00 "," 10,265.00 "," 40,399.00 "," 28,147.00 "," 69,945.00 "," 1,450.00 ",16115,20073,14050,14103,0.012916698,0.038974106,0.153386742,0.106868403,0.265566862,0.005505353,0.06118536,0.076213076,0.053344977,0.053546207,1041,16.3,10.6,12.2,28.9,28.9,14.5,15.3,7.6,8.7,28.3,32.7, -   ,6459325," 36,420 ", 177.36 ,0.128570865,27948706,14901436,6205638,2650942,5152733,4313759,838974,31821826,7509909,8928156,30518887,388653,388653,9760530,12733144,491654,8056141,47010998,23628784,220157359,"111,746","159,499",271245
Iowa,2009,36.52,24.51,11.67,8.69,4.56,1.83,0.24,0.56,0.78,0.59,94.66,0.350003778, 0.0210098 ,67.89%,17.92%,45038.52786,-2.3,136596,-1.8," 6,601.00 "," 136,596.00 "," 5,331.00 "," 27,576.00 "," 17,077.00 "," 25,396.00 ", 316.00 ,8223,8263,7106,7996,0.048324988,0.039027497,0.201879996,0.125018302,0.185920525,0.002313391,0.06019942,0.060492255,0.052022021,0.058537585,307,10.3,11.1,13.3,20.5,21.4,16.7,17.8,6.9,7.7,31.4,39.7, 1 ,3032870," 56,273 ", 53.90 ,0.065917431,13207715,6985090,2201396,1070780,2967555,2703190,264365,18303986,4263942,5125708,12858288,335328,335328,5265250,7410317,115494,4388877,20694855,14360473,113322375,"53,681","132,772",186453
Kansas,2009,40.56,28.57,14.65,11.26,6.36,2.83,0.27,0.60,0.84,0.76,93.97,0.36390427, 0.0210636 ,64.82%,20.79%,43220.54122,-4.8,122431,-3.9," 4,304.00 "," 122,431.00 "," 4,680.00 "," 17,832.00 "," 18,572.00 "," 17,618.00 "," 1,961.00 ",7973,11028,6964,8171,0.035154495,0.038225613,0.145649386,0.151693607,0.143901463,0.016017185,0.065122395,0.090075226,0.056881019,0.066739633,400,14.5,6.2,8.4,11.9,11.9,12.9,14.7,4.0,5.1,15.0,21.5, 1 ,2832704," 82,278 ", 34.43 ,0.121471569,11654910,6694630,2227183,817721,3102448,2731559,370889,15832222,3282069,4334007,10694925,246457,246457,4798754,4760954,1144827,3464453,22264558,15422540,111052352,"55,308","124,536",179844
Kentucky,2009,43.54,30.04,14.09,10.55,5.60,2.28,0.25,0.60,0.81,0.62,94.03,0.337982369, 0.0161234 ,61.59%,14.65%,36161.76142,-4.5,156113,-3.9," 2,123.00 "," 156,113.00 "," 6,495.00 "," 22,513.00 "," 25,149.00 "," 24,822.00 "," 5,617.00 ",9899,12262,9876,10226,0.013599124,0.041604479,0.144209643,0.161094848,0.159000211,0.035980348,0.063409197,0.078545669,0.063261868,0.065503834,754,17.7,8.6,10.5,14.5,14.5,12.5,13.8,6.8,7.7,17.0,23.5, -   ,4317074," 40,408 ", 106.84 ,0.108126708,18875625,9740886,2857665,1806165,3705002,3315368,389634,26853131,6842092,5400409,13280011,351279,351279,6122620,5783105,1958821,5768936,28006690,21301557,139458607,"58,776","133,999",192775
Louisiana,2009,43.69,31.06,16.14,12.54,7.26,3.35,0.29,0.64,0.89,0.86,94.94,0.388138276, 0.0181539 ,59.71%,15.18%,46643.68178,0.4,209507,1.7," 1,785.00 "," 209,507.00 "," 11,608.00 "," 27,046.00 "," 25,447.00 "," 39,454.00 "," 19,895.00 ",13151,16535,12190,9826,0.008520002,0.055406263,0.129093539,0.121461335,0.18831829,0.094961028,0.062771172,0.078923377,0.058184213,0.046900581,949,21.5,5.8,6.5,3.8,5.9,12.8,12.8,3.7,4.1,15.3,17.2, 1 ,4491648," 52,378 ", 85.75 ,0.358378929,23951567,10201931,2963758,2239146,3553178,2940633,612545,33406414,6123351,10472836,11416880,326361,326361,7669109,4935106,5300339,6764385,35756560,23238029,162974620,"92,506","123,010",215516
Maine,2009,40.45,27.57,12.79,9.47,4.90,1.93,0.24,0.57,0.79,0.57,95.17,0.412249556, 0.0254176 ,70.53%,19.92%,37772.54642,-1.8,50222,-1.8, 639.00 ," 50,222.00 "," 2,115.00 "," 10,051.00 "," 7,512.00 "," 5,417.00 ", 14.00 ,4272,4569,2051,2586,0.012723508,0.042113018,0.200131417,0.149575883,0.107861097,0.000278762,0.085062323,0.090976066,0.040838676,0.051491378,164,12.6,11.7,13.7,4.3,7.0,17.8,18.4,5.1,5.8,44.6,53.2, -   ,1329590," 35,380 ", 37.58 ,0.043303575,6215026,3488960,1012357,628314,1513796,1370710,143086,8775249,2847046,2473712,3315411,(D),(D),2780287,2204796,(D),1078764,11689644,6401870,49130870,"28,245","66,333",94578
Maryland,2009,38.55,29.00,13.41,9.92,5.12,2.00,0.28,0.56,0.83,0.77,95.10,0.366521579, 0.0190366 ,65.79%,24.69%,52922.2454,-1,303265,-0.2, 813.00 ," 303,265.00 "," 14,318.00 "," 65,044.00 "," 63,277.00 "," 18,932.00 ", 203.00 ,15530,41743,11316,13257,0.002680824,0.047212834,0.214479086,0.208652499,0.06242725,0.000669382,0.051209338,0.137645294,0.0373139,0.043714243,628,10.9,12.6,14.3,12.6,13.5,12.8,13.2,7.3,8.0,28.5,33.3, -   ,5730388," 12,406 ", 461.90 ,0.383808391,24054709,15285561,3851341,2371570,7227237,6478236,749001,36023284,8131885,12944914,9665862,93355,93355,9878347,16570771,155646,5435594,70286223,47638463,279900870,"114,227","155,435",269662
Massachusetts,2009,46.71,36.83,19.10,14.88,8.67,4.04,0.33,0.60,0.89,1.03,95.40,0.324538719, 0.0212302 ,68.22%,30.01%,58725.02709,-2.9,382747,-2.2, 712.00 ," 382,747.00 "," 12,824.00 "," 88,359.00 "," 45,933.00 "," 40,011.00 ", 174.00 ,16716,59829,10814,20343,0.001860237,0.033505161,0.230854847,0.120008779,0.104536417,0.000454608,0.043673758,0.156314746,0.028253651,0.053149992,711,10.9,16.6,18.0,20.6,20.6,8.9,10.4,8.8,9.9,60.9,64.1, -   ,6517613," 10,554 ", 617.55 ,0.153501136,34182458,19682914,3880087,2216239,12388638,10599085,1789553,48647503,13189704,12768655,23864558,778530,778530,12946007,31539330,119625,5897415,103358130,33297483,335086775,"85,357","214,254",299611
Michigan,2009,46.36,31.31,15.13,11.38,6.11,2.53,0.26,0.61,0.85,0.67,96.18,0.369776703, 0.0178055 ,67.16%,18.91%,37004.25517,-7.7,366401,-8.1," 2,620.00 "," 366,401.00 "," 12,050.00 "," 66,716.00 "," 49,027.00 "," 53,466.00 "," 1,340.00 ",25918,45905,16489,22903,0.007150636,0.032887465,0.182084656,0.133806949,0.145922091,0.003657195,0.070736707,0.12528623,0.045002606,0.062508017,1530,15.7,18.8,19.9,24.0,24.7,17.9,18.9,12.2,13.0,57.1,60.3, -   ,9901591," 96,714 ", 102.38 ,0.194412292,53090160,22757818,8998942,3505218,6560001,5856751,703250,58997843,14086669,9688377,35632618,281088,281088,14554989,14327851,708563,9181705,82830896,41470417,336321819,"181,064","258,776",439840
Minnesota,2009,42.26,30.58,15.47,11.80,6.54,2.83,0.28,0.58,0.83,0.77,95.51,0.340955182, 0.0224843 ,67.46%,23.03%,49128.95793,-4.5,259460,-3.9," 4,984.00 "," 259,460.00 "," 10,121.00 "," 52,883.00 "," 29,203.00 "," 35,550.00 "," 1,117.00 ",14243,30877,11118,17550,0.019209127,0.03900794,0.203819471,0.112552995,0.13701534,0.004305095,0.054894781,0.119004856,0.042850536,0.067640484,563,10.8,15.1,15.7,30.3,31.0,8.4,8.7,8.5,8.9,52.8,54.6, -   ,5281203," 86,936 ", 60.75 ,0.125850682,22781153,17161299,4375200,2987140,7727174,6948119,779055,36308889,9926096,8222053,20840082,253343,253343,9069439,13831258,583824,6627073,52609109,24651567,215149426,"118,460","170,960",289420
Mississippi,2009,42.69,29.92,13.94,10.53,5.72,2.40,0.25,0.65,0.84,0.66,94.08,0.356273029, 0.0155933 ,57.30%,14.03%,31155.47183,-3.6,92182,-3.3," 1,958.00 "," 92,182.00 "," 4,898.00 "," 13,085.00 "," 17,358.00 "," 13,769.00 "," 1,576.00 ",7368,6207,5569,4399,0.021240589,0.053134017,0.141947452,0.188301404,0.149367555,0.017096613,0.079928836,0.067334187,0.060413096,0.047720813,658,22.5,4.8,6.4,2.3,3.6,11.4,11.9,4.4,5.2,6.2,10.8, 1 ,2958774," 48,432 ", 61.09 ,0.395388766,14393964,6490579,3026497,1111542,1809893,1485592,324301,19246076,5130483,3954294,7080652,342320,342320,4175349,2243075,937831,2745281,16240264,14170239,88174096,"37,001","84,484",121485
Missouri,2009,42.57,29.63,14.87,11.38,6.36,2.79,0.27,0.60,0.84,0.74,95.32,0.346720193, 0.0198793 ,65.30%,17.97%,41867.18935,-2.4,249574,-1.8," 3,454.00 "," 249,574.00 "," 10,243.00 "," 46,010.00 "," 32,995.00 "," 30,618.00 ", 963.00 ,15727,28795,12526,15211,0.013839583,0.041041935,0.184354139,0.132205278,0.122681049,0.003858575,0.063015378,0.115376602,0.050189523,0.060947855,890,15,9.4,10.6,27.3,27.3,15.8,16.8,8.0,8.7,17.7,21.8, -   ,5961088," 69,707 ", 85.52 ,0.157343089,17969081,10274618,3030477,1568443,5050237,4771576,278661,28613023,6929810,9792902,17472011,324975,324975,10465909,12358300,383445,7050348,52098512,28292801,217131669,"89,710","173,633",263343
Montana,2009,44.35,32.03,16.91,13.37,8.07,3.95,0.26,0.64,0.85,0.69,95.98,0.522520411, 0.0321855 ,70.82%,21.39%,36184.605,-3.7,35605,-2.9," 1,270.00 "," 35,605.00 "," 2,123.00 "," 6,148.00 "," 6,000.00 "," 1,659.00 "," 2,077.00 ",2406,2551,2595,1907,0.035669148,0.059626457,0.172672377,0.168515658,0.046594579,0.058334504,0.067574779,0.071647241,0.072883022,0.053559893,142,14.5,13.9,18.1,13.5,13.5,15.9,19.6,6.5,9.4,42.3,51.0, -   ,983982," 147,040 ", 6.69 ,0.098026183,4828033,2407400, -   ,529392,991451,827196,164255,6268607,1235984,1923951,955769,151502,151502,2026948,1385826,818727,1142213,7300440,5059984,33768763,"28,894","54,210",83104
Nebraska,2009,37.10,25.75,13.16,10.11,5.71,2.54,0.26,0.59,0.82,0.73,94.27,0.362252857, 0.0230934 ,65.33%,19.56%,47826.3436,-0.7,86694,0.2," 5,296.00 "," 86,694.00 "," 3,639.00 "," 14,858.00 "," 11,563.00 "," 10,522.00 ", 117.00 ,5159,8099,8086,4985,0.061088426,0.041975223,0.17138441,0.133377166,0.121369414,0.001349574,0.059508155,0.093420537,0.093270584,0.057501096,184,10.2,9.2,11.4,12.4,14.7,9.4,11.6,4.2,5.4,31.9,38.6, 1 ,1812683," 77,348 ", 23.44 ,0.095293551,7248209,4000939,1504174,511109,1800533,1602091,198442,9110284,2171990,3953187,5139984,208558,208558,3221881,4170785,48744,4145329,14875108,9518289,71103994,"34,934","81,190",116124
Nevada,2009,48.68,36.13,21.27,17.55,11.69,6.58,0.31,0.64,0.89,1.00,92.45,0.293917668, 0.0178529 ,62.21%,16.02%,44505.36659,-10.1,119482,-9, 267.00 ," 119,482.00 "," 8,764.00 "," 23,410.00 "," 14,630.00 "," 5,409.00 "," 4,437.00 ",7783,12021,6701,4811,0.002234646,0.073349961,0.195929094,0.122445222,0.045270417,0.037135301,0.065139519,0.100609297,0.056083762,0.040265479,446,16.6,15.7,17.2,34.0,35.0,10.7,10.7,12.7,13.7,34.1,38.2, 1 ,2684665," 110,572 ", 24.28 ,0.216283968,7531884,5611626,2684029,1671660, -   , -   , -   ,12056208,1865609,7518823,2614885,15066,15066,4879007,2041906,956541,3303616,28749422,13005223,97399708,"56,451","61,132",117583
New Hampshire,2009,41.10,30.10,15.34,11.74,6.57,2.89,0.28,0.57,0.83,0.78,93.77,0.370716653, 0.0238363 ,69.33%,25.11%,46106.60876,-1.6,60681,-1.6, 170.00 ," 60,681.00 "," 2,127.00 "," 13,323.00 "," 7,798.00 "," 7,022.00 ", 72.00 ,4560,6608,2083,3672,0.002801536,0.035052158,0.219558017,0.1285081,0.115719912,0.001186533,0.075147081,0.108897348,0.034327055,0.060513175,84,6.5,10.8,12.3,8.2,9.2,4.7,5.1,4.5,5.1,48.1,54.8, -   ,1316102," 9,349 ", 140.77 ,0.05094362,5639852,2125722, -   ,829654,591622,98191,493431,6956174,1778194,2835532,5130283,53050,53050,4924426,3433831,29784,1042738,14491839,5765719,60201229,"21,401","52,617",74018
New Jersey,2009,46.27,36.76,18.10,13.87,7.78,3.43,0.32,0.60,0.89,0.97,96.42,0.366640035, 0.0223223 ,65.25%,25.62%,55300.02392,-4.7,484185,-4.2, 969.00 ," 484,185.00 "," 16,758.00 "," 115,296.00 "," 58,269.00 "," 46,429.00 ", 320.00 ,27863,69601,22758,36815,0.002001301,0.034610738,0.238123858,0.120344496,0.095891033,0.000660904,0.057546186,0.143748774,0.047002695,0.076034987,966,11.1,19.3,19.9,25.9,25.9,7.7,8.0,10.5,10.8,64.6,66.6, -   ,8755602," 8,723 "," 1,003.74 ",0.252658127,42944305,27186553,8188990,3537026,13061337,10663866,2397471,62037950,13170854,14914820,25117005,117287,117287,17715642,32209394,248594,13296833,103466353,52107761,442746079,"202,735","216,460",419195
New Mexico,2009,44.40,30.39,14.43,10.88,5.88,2.46,0.25,0.63,0.84,0.64,93.40,0.40363448, 0.0178348 ,59.19%,18.57%,40598.44796,-1.2,82691,0.1, 819.00 ," 82,691.00 "," 3,689.00 "," 12,135.00 "," 19,841.00 "," 4,681.00 "," 7,758.00 ",4947,8735,3272,2529,0.009904343,0.044611868,0.146751158,0.239941469,0.056608337,0.093819158,0.059825132,0.105634229,0.039568998,0.030583739,372,18.3,6.7,10.2,12.6,14.3,2.6,3.6,3.1,4.1,16.0,25.5, -   ,2036802," 121,590 ", 16.75 ,0.162974604,9869384,4817277,1881651,602961,1121000,958500,162500,17377696,3860365,3054055,1935964,84525,84525,3142453,2126634,1583506,1585597,15990529,13040996,66243018,"31,607","73,724",105331
New York,2009,54.77,44.26,27.01,22.54,15.40,9.01,0.37,0.66,0.96,1.28,97.37,0.365392085, 0.0228539 ,66.09%,22.82%,59249.03349,1.6,1143925,2.1," 2,038.00 "," 1,143,925.00 "," 37,343.00 "," 334,604.00 "," 142,820.00 "," 71,382.00 "," 1,084.00 ",54910,143200,38704,55197,0.001781585,0.032644623,0.29250519,0.124850842,0.062400944,0.000947615,0.048001399,0.125183032,0.033834386,0.048252289,3062,16,25.2,27.2,26.4,27.5,16.5,18.3,14.0,15.9,72.4,74.8, -   ,19307066," 54,555 ", 353.90 ,0.279939013,92112356,64756423,11073898,9164520,41267694,36840019,4427675,165100850,45235958,31379830,35872258,283249,283249,35097594,115048744,1246608,20435557,249789821,128594223,905801349,"371,157","552,971",924128
North Carolina,2009,43.07,29.66,14.33,10.74,5.72,2.34,0.26,0.60,0.83,0.69,95.90,0.346695862, 0.0179689 ,62.45%,18.89%,43273.20429,-4.5,408913,-3.1," 4,202.00 "," 408,913.00 "," 15,619.00 "," 74,260.00 "," 61,639.00 "," 88,892.00 ", 807.00 ,21579,39935,14557,21132,0.010276024,0.038196389,0.181603422,0.150738666,0.217386094,0.001973525,0.052771616,0.097661361,0.03559926,0.051678474,1633,17.4,3.1,4.4,1.7,1.7,3.0,3.8,1.5,2.1,10.4,15.0, 1 ,9449566," 53,819 ", 175.58 ,0.27441546,30150407,20525663,4963434,3471751,10461798,9560353,901445,48586378,11213283,13092207,28956434,569088,569088,14980527,28894185,178122,8344601,70963307,51845777,338669437,"149,768","283,629",433397
North Dakota,2009,38.46,27.03,13.70,10.45,5.80,2.52,0.26,0.58,0.82,0.72,93.52,0.422665266, 0.0268359 ,66.61%,19.50%,48670.01119,1.3,32364,2.4," 2,877.00 "," 32,364.00 "," 1,717.00 "," 5,061.00 "," 4,512.00 "," 2,580.00 "," 1,705.00 ",2051,1820,2197,2466,0.088895069,0.053052775,0.156377456,0.139414164,0.079718205,0.052681992,0.063372883,0.056235323,0.067884069,0.076195773,82,12.6,6.8,9.8,14.0,14.0,6.9,8.2,4.3,5.7,16.7,25.5, 1 ,664968," 70,698 ", 9.41 ,0.092909734,4372683,2414494,607171,337397,499707,370165,129542,4486613,820797,1633371,1315551,111716,111716,1390968,1386183,619312,1198438,5095364,4071502,26687878,"10,936","34,530",45466
Ohio,2009,41.94,28.80,13.83,10.37,5.54,2.27,0.25,0.58,0.80,0.64,95.60,0.334082568, 0.0167229 ,65.76%,16.49%,41452.53804,-5,477902,-4.9," 3,368.00 "," 477,902.00 "," 16,189.00 "," 94,302.00 "," 60,780.00 "," 75,902.00 "," 3,306.00 ",30247,54215,23627,29103,0.00704747,0.033875146,0.197324975,0.127180886,0.158823357,0.006917736,0.063291219,0.11344376,0.049439006,0.060897422,1746,15.4,14.2,15.4,23.9,24.7,16.0,16.7,8.9,9.5,44.0,48.0, -   ,11528896," 44,826 ", 257.19 ,0.160740283,26133949,23920056,7328388,4821101,8844715,8323352,521363,71862926,16493561,14705284,43021042,246376,246376,18383929,19378566,1483479,13594692,97188504,51264620,410538372,"129,771","322,510",452281
Oklahoma,2009,43.33,31.29,16.61,13.07,7.80,3.75,0.28,0.61,0.85,0.80,95.06,0.388487597, 0.0194328 ,62.31%,16.73%,38568.18375,-2.8,143380,-1.5," 1,451.00 "," 143,380.00 "," 5,640.00 "," 19,577.00 "," 25,112.00 "," 15,396.00 "," 16,771.00 ",9206,11845,7877,7643,0.010119961,0.03933603,0.136539266,0.175142977,0.107378993,0.116968894,0.064207002,0.082612638,0.054937927,0.0533059,603,16.3,5.7,7.3,3.6,3.6,5.8,6.7,2.7,3.4,17.5,22.9, 1 ,3717572," 69,899 ", 53.18 ,0.23712493,17433201,8192191,2162693,995643,2887338,2544576,342762,21365899,5116159,5532710,9060776,186200,186200,5832210,4767971,7777219,4118861,26152437,19942710,129819128,"78,107","127,079",205186
Oregon,2009,43.97,29.82,14.16,10.54,5.51,2.20,0.25,0.59,0.82,0.64,95.67,0.414876238, 0.0233033 ,67.93%,20.29%,47582.31371,-1.5,181222,-0.5," 3,058.00 "," 181,222.00 "," 6,580.00 "," 31,706.00 "," 22,171.00 "," 47,560.00 ", 311.00 ,8514,15299,6535,10255,0.016874331,0.036309057,0.174956683,0.122341658,0.262440543,0.001716127,0.046981051,0.084421318,0.036060743,0.056588052,537,14.3,17.0,18.5,11.5,11.5,12.2,12.9,8.9,9.8,57.7,61.9, -   ,3808600," 98,379 ", 38.71 ,0.109542877,7553467,7115043, -   ,885526,5406136,5162384,243752,24381062,4925374,5946642,11914173,1029034,1029034,6819117,5819050,94975,3533664,31027786,17976506,134859864,"93,177","172,505",265682
Pennsylvania,2009,44.19,31.58,16.07,12.30,6.87,3.01,0.28,0.60,0.84,0.78,96.03,0.340812084, 0.0183751 ,65.05%,18.13%,44822.79662,-2.2,567764,-1.8," 2,447.00 "," 567,764.00 "," 21,116.00 "," 107,365.00 "," 65,235.00 "," 73,657.00 "," 6,815.00 ",31360,71114,26388,32956,0.004309889,0.037191509,0.189101458,0.114898091,0.12973172,0.012003227,0.055234217,0.125252746,0.046477057,0.058045244,1535,12.2,15.0,16.2,20.3,20.3,15.3,15.9,9.4,10.1,53.4,58.2, -   ,12666858," 46,054 ", 275.04 ,0.158505448,40050370,30071179,8496182,6600228,11290770,9550238,1740532,79812933,21240686,18932620,39617524,546889,546889,22061155,20194838,2490890,15569051,133151110,55781553,515485777,"172,074","416,399",588473
Rhode Island,2009,42.39,29.55,14.45,10.85,5.80,2.39,0.27,0.58,0.83,0.72,93.50,0.390851677, 0.0235800 ,66.19%,23.28%,45366.28052,-1.1,47800,-1.2, 78.00 ," 47,800.00 "," 2,114.00 "," 11,759.00 "," 7,165.00 "," 3,698.00 ", 40.00 ,2593,5002,1438,2438,0.001631799,0.044225941,0.246004184,0.149895397,0.077364017,0.00083682,0.054246862,0.104644351,0.030083682,0.051004184,146,14,17.9,18.7,28.5,28.5,6.1,6.8,8.8,9.5,67.6,69.1, -   ,1053646," 1,545 ", 681.97 ,0.133029499,4813404,2586184,814511,569253,1069382,960885,108497,7440637,2175941,1699172,2657603,62282,62282,1942584,2304504,9771,675968,10978318,5478821,43131954,"19,029","31,745",50774
South Carolina,2009,44.04,30.26,14.23,10.62,5.61,2.27,0.25,0.61,0.82,0.63,94.73,0.354562572, 0.0174530 ,62.41%,16.86%,35087.03511,-5,161045,-3.7," 1,192.00 "," 161,045.00 "," 7,870.00 "," 28,204.00 "," 27,862.00 "," 25,240.00 ", 279.00 ,11915,15101,7821,8736,0.007401658,0.048868329,0.175131175,0.173007544,0.156726381,0.001732435,0.073985532,0.093768822,0.048564066,0.054245708,773,16.9,4.5,5.4,6.6,6.6,2.4,3.1,2.8,3.4,11.9,14.3, 1 ,4589872," 32,020 ", 143.34 ,0.31550248,18958820,7636726,2910183,1168177,3061500,2812300,249200,28569063,6001129,5712948,12977182,274635,274635,7217187,5739565,72920,3892731,29261925,22880293,145201638,"61,787","138,376",200163
South Dakota,2009,39.62,29.17,16.03,12.79,7.87,3.97,0.27,0.62,0.84,0.78,94.13,0.43283704, 0.0267301 ,66.35%,17.51%,45230.44555,0,36504,1," 3,098.00 "," 36,504.00 "," 1,492.00 "," 9,329.00 "," 4,747.00 "," 3,143.00 ", 153.00 ,2515,1909,1492,2189,0.084867412,0.040872233,0.255561034,0.130040544,0.086100153,0.004191321,0.068896559,0.052295639,0.040872233,0.059966031,109,13.6,5.5,6.6,7.8,7.8,5.5,5.9,3.0,3.4,17.6,21.5, 1 ,807067," 77,116 ", 10.47 ,0.130410486,2367319,1341758,756598,327013,48772, -   ,48772,4112566,894392,1465827,1868317,124026,124026,1637315,2737403,53437,843217,6053454,4151855,31898690,"17,998","48,637",66635
Tennessee,2009,44.22,31.62,15.95,12.27,6.94,3.10,0.27,0.62,0.84,0.75,94.25,0.312454864, 0.0157080 ,62.47%,16.63%,39219.83109,-4.8,247321,-3.9," 1,505.00 "," 247,321.00 "," 9,213.00 "," 39,827.00 "," 32,362.00 "," 38,693.00 ", 965.00 ,18295,25576,12788,16703,0.006085209,0.037251184,0.161033636,0.130850191,0.156448502,0.003901812,0.073972691,0.103412165,0.051706082,0.067535713,1052,16.7,5.1,6.6,2.3,3.1,6.3,9.4,2.8,3.8,16.9,20.7, 1 ,6306019," 42,144 ", 149.63 ,0.202080901,19768870,10433133,6356962,1643509,1037946,221685,816261,28294693,8749889,9487968,19922168,433694,433694,11009767,11071033,244108,8460569,58929733,24926022,218408222,"66,749","234,427",301176
Texas,2009,46.22,34.24,18.36,14.40,8.53,4.07,0.32,0.64,0.90,0.99,96.42,0.324662726, 0.0158206 ,55.77%,16.30%,47233.50088,-2.3,1171474,-0.3," 6,183.00 "," 1,171,474.00 "," 61,052.00 "," 163,568.00 "," 140,002.00 "," 155,925.00 "," 118,663.00 ",68338,122754,64890,83598,0.005277966,0.05211554,0.139625805,0.119509268,0.133101546,0.101293755,0.058335055,0.104785936,0.055391754,0.071361379,4633,18.4,5.1,6.2,3.8,4.4,7.0,8.1,3.1,3.7,15.7,19.5, 1 ,24801761," 268,596 ", 92.34 ,0.187070507,92274744,41779699,21053923,11581054, -   , -   , -   ,110998477,26582564,49422756,66980121,1133697,1133697,42492244,47469431,38048978,37451150,217645113,115115818,910107802,"298,915","841,654",1140569
Utah,2009,42.00,29.38,15.42,12.03,7.04,3.29,0.26,0.59,0.82,0.72,94.63,0.341616952, 0.0213390 ,60.51%,16.91%,42051.88988,-3.5,114525,-1.3, 391.00 ," 114,525.00 "," 6,004.00 "," 22,315.00 "," 16,692.00 "," 15,971.00 "," 3,780.00 ",7851,11486,5195,5681,0.003414102,0.052425235,0.194848286,0.145749836,0.139454268,0.033005894,0.068552718,0.100292513,0.045361275,0.04960489,278,10,6.9,8.0,8.6,8.6,6.4,6.9,4.3,4.6,17.7,21.5, 1 ,2723421," 84,897 ", 32.08 ,0.076798629,8783428,5422858,1744035,654127,2565512,2319632,245880,15568462,2458093,4326237,7122924,45254,45254,4987310,4851203,552957,3003593,20347123,13378646,86110566,"64,684","90,090",154774
